name,host_id,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,price,maximum_nights,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,total_amenities
"NYC Spacious, Stylish House: Radiant!",250124566,f,Morris Heights,Bronx,40.8494,-73.92275,Entire home,Entire home/apt,5,2.0,190.0,1125,280,107,1,3.59,1126
Bedroom in East Village Oasis with Backyard,29435130,f,East Village,Manhattan,40.72743625516991,-73.97795322655325,Private room in rental unit,Private room,2,1.0,98.0,45,78,26,1,0.96,329
Sonder at The Nash | King Studio Apartment,219517861,f,Murray Hill,Manhattan,40.74701,-73.97437,Entire rental unit,Entire home/apt,2,0.0,387.0,1125,301,377,87,12.29,520
"Blueground | West Village, w/d & roof, nr Pier 46",107434423,f,West Village,Manhattan,40.7357054,-74.0062094,Entire rental unit,Entire home/apt,4,2.0,768.0,1125,137,0,1054,0.0,469
"Blueground | West Village, w/d, nr dining & cafes",107434423,f,West Village,Manhattan,40.73461700000001,-74.00635439999999,Entire rental unit,Entire home/apt,4,2.0,536.0,1125,42,0,1054,0.0,449
Cozy master-bedroom hosted by Amy,489067505,t,Clifton,Staten Island,40.6167634,-74.0777672,Private room in home,Private room,2,1.0,160.0,30,362,153,1,6.11,895
Cheerful 1 bedroom private home with your own bath,487676932,f,Clason Point,Bronx,40.8120497077761,-73.86178940534592,Private room in home,Private room,2,1.0,52.0,365,362,1,1,0.03,191
Luxury living NYC,341348997,f,Fort Greene,Brooklyn,40.68311,-73.96848,Entire rental unit,Entire home/apt,5,2.0,230.0,30,89,57,2,1.83,704
Uptown Penthouse Oasis / Free airport pick up!*,477886839,f,Washington Heights,Manhattan,40.84886,-73.93429,Private room in rental unit,Private room,2,1.0,105.0,1125,180,59,2,1.9,1422
Modern Home,395283739,f,New Brighton,Staten Island,40.6395048,-74.0889641,Private room in home,Private room,2,3.0,210.0,31,178,4,1,0.19,857
Spacious 2 bedroom apartment,432084618,f,East Flatbush,Brooklyn,40.64306,-73.95114,Entire rental unit,Entire home/apt,2,2.0,250.0,30,364,17,1,0.55,652
"Cozy UES apartment near train, hospitals, Museums",16929950,f,Upper East Side,Manhattan,40.76704,-73.9603,Entire rental unit,Entire home/apt,2,1.0,134.0,30,166,48,1,1.58,605
private room/ pvt bath long term,17848036,f,Upper East Side,Manhattan,40.77746,-73.94534,Private room in rental unit,Private room,1,1.0,138.0,365,267,0,1,0.0,238
Modern Apartment in Manhattan,488599936,f,Chelsea,Manhattan,40.75007,-73.99601,Entire rental unit,Entire home/apt,2,1.0,175.0,30,351,42,1,1.36,797
